epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,422.302,1.10077,1.30636,1.20498,1.28231,0.64123,0.62867,0.62322,0.46914,0.61427,0.45237,0.45057,0.10511,0.87211,1.12158,0.97839,1.07918,0.0501199,9.99601e-05,9.99601e-05
2,817.651,0.95645,1.12031,1.0376,1.17778,0.66329,0.63465,0.70777,0.54674,0.66225,0.54037,0.57433,0.1599,0.82027,1.03253,0.90973,1.02675,0.000219693,0.000199765,0.000199765
3,1164.15,0.91296,1.06974,0.98214,1.15124,0.68647,0.65669,0.73602,0.58002,0.65628,0.63591,0.61268,0.17191,0.7658,1.00137,0.85032,1.00265,0.000199219,0.000199219,0.000199219
4,1508.26,0.88865,1.03681,0.9496,1.13994,0.76581,0.59018,0.74269,0.59416,0.71658,0.5341,0.58882,0.15889,0.80175,1.00888,0.83822,1.02409,0.000198246,0.000198246,0.000198246
5,1850.95,0.87669,1.02728,0.92542,1.13126,0.8207,0.56317,0.7564,0.60298,0.67181,0.65801,0.64361,0.1915,0.74503,1.01323,0.78878,0.97187,0.00019689,0.00019689,0.00019689
6,2192.01,0.8499,1.01111,0.90245,1.12496,0.6706,0.60365,0.75679,0.62396,0.54719,0.66183,0.62708,0.1952,0.72107,0.95466,0.806,0.98965,0.000195155,0.000195155,0.000195155
7,2532.17,0.84503,0.9983,0.90486,1.11408,0.70087,0.63751,0.77227,0.63109,0.69585,0.50615,0.61924,0.19192,0.74815,1.00218,0.79441,0.9945,0.000193048,0.000193048,0.000193048
8,2871.94,0.83259,0.99352,0.86931,1.10906,0.65282,0.68532,0.75281,0.60601,0.56388,0.65237,0.60187,0.17721,0.74925,0.99244,0.77307,0.97693,0.000190578,0.000190578,0.000190578
9,3209.42,0.82104,0.98323,0.86081,1.10408,0.74244,0.63057,0.76941,0.6253,0.63344,0.60226,0.58608,0.16561,0.76432,0.98777,0.7894,1.00415,0.000187754,0.000187754,0.000187754
10,3546.8,0.80664,0.97497,0.85947,1.09515,0.73639,0.63398,0.77658,0.63525,0.67822,0.57136,0.62687,0.19085,0.7442,0.99616,0.79153,0.98446,0.000184588,0.000184588,0.000184588
11,3886.05,0.80664,0.96779,0.84842,1.0917,0.72985,0.65877,0.77785,0.63624,0.76129,0.50415,0.60418,0.1853,0.78104,0.9567,0.84106,0.99622,0.000181093,0.000181093,0.000181093
12,4223.92,0.80012,0.96368,0.8293,1.0899,0.70371,0.66792,0.77683,0.63054,0.63053,0.60354,0.6138,0.17553,0.75944,0.96931,0.79376,0.99142,0.000177281,0.000177281,0.000177281
13,4561.29,0.79911,0.9604,0.83132,1.08981,0.72388,0.65345,0.78422,0.64523,0.72222,0.5239,0.56383,0.17662,0.74118,0.97877,0.74925,0.99978,0.000173168,0.000173168,0.000173168
14,4899.4,0.78386,0.95271,0.82203,1.08163,0.73314,0.68152,0.79783,0.65172,0.68376,0.63933,0.63206,0.20246,0.72253,0.98385,0.78045,0.98329,0.00016877,0.00016877,0.00016877
15,5238.34,0.77926,0.94599,0.81932,1.08474,0.78198,0.58966,0.77849,0.62878,0.63358,0.67234,0.65604,0.20844,0.76325,0.95869,0.77991,1.00764,0.000164105,0.000164105,0.000164105
16,5581.63,0.77202,0.9491,0.81234,1.07821,0.69502,0.65281,0.77713,0.64479,0.70084,0.55453,0.61397,0.18826,0.72342,0.98363,0.80475,0.99005,0.000159191,0.000159191,0.000159191
17,5919.87,0.77137,0.93909,0.79429,1.07826,0.6602,0.70873,0.78751,0.65764,0.77033,0.55962,0.65763,0.21838,0.6774,0.96601,0.7569,0.96301,0.000154047,0.000154047,0.000154047
18,6258.7,0.76977,0.93948,0.8042,1.07634,0.7069,0.67317,0.7829,0.6462,0.63186,0.57297,0.53558,0.13913,0.71635,1.00195,0.79544,0.99077,0.000148694,0.000148694,0.000148694
19,6604.33,0.76445,0.93532,0.7929,1.07357,0.71477,0.6428,0.7779,0.64772,0.72804,0.52014,0.5968,0.18333,0.67904,0.99822,0.75732,0.97296,0.000143152,0.000143152,0.000143152
20,6950.26,0.76186,0.92954,0.79354,1.07151,0.73136,0.64193,0.78537,0.66058,0.7017,0.56982,0.64379,0.19975,0.68029,0.94967,0.77275,0.98094,0.000137444,0.000137444,0.000137444
21,7295.77,0.74793,0.92833,0.77809,1.06467,0.7805,0.61549,0.78119,0.64869,0.77977,0.54262,0.62515,0.20684,0.70809,0.94928,0.77163,0.98146,0.000131593,0.000131593,0.000131593
22,7640.25,0.74786,0.92079,0.78347,1.0656,0.69231,0.66865,0.7956,0.65598,0.75751,0.51255,0.62489,0.2057,0.68876,0.96831,0.74172,0.97663,0.00012562,0.00012562,0.00012562
23,7981.05,0.73029,0.91995,0.76696,1.05637,0.65798,0.71751,0.80187,0.67502,0.56787,0.61483,0.63389,0.21241,0.72748,0.96347,0.74953,0.99968,0.000119551,0.000119551,0.000119551
24,8326.72,0.7348,0.9245,0.77329,1.06308,0.72093,0.67081,0.78634,0.6507,0.69718,0.57756,0.6456,0.20684,0.73084,0.97224,0.771,1.00258,0.000113408,0.000113408,0.000113408
25,8686.61,0.72128,0.91128,0.76018,1.05492,0.74742,0.63853,0.79551,0.66046,0.70896,0.54897,0.60904,0.19743,0.70679,0.96305,0.75958,0.99551,0.000107216,0.000107216,0.000107216
26,9023.42,0.71375,0.90914,0.75228,1.05138,0.65068,0.74503,0.80482,0.6787,0.66016,0.54928,0.61883,0.18831,0.70544,0.95951,0.74572,0.98752,0.000101,0.000101,0.000101
27,9359.64,0.71608,0.91539,0.74741,1.04817,0.68688,0.71748,0.79362,0.67491,0.71234,0.53351,0.5992,0.1892,0.68666,0.98887,0.75969,0.97374,9.47837e-05,9.47837e-05,9.47837e-05
28,9696.19,0.70891,0.90313,0.75084,1.04766,0.74421,0.68595,0.81196,0.67775,0.74311,0.58104,0.66287,0.22107,0.68061,0.94179,0.75326,0.97604,8.8592e-05,8.8592e-05,8.8592e-05
29,10042.5,0.70563,0.90149,0.73623,1.04927,0.68767,0.72397,0.80186,0.67762,0.7446,0.5278,0.63022,0.20391,0.70353,0.97573,0.75998,0.99354,8.24492e-05,8.24492e-05,8.24492e-05
30,10378.6,0.70689,0.89746,0.74893,1.0472,0.7097,0.69996,0.80748,0.67794,0.73532,0.50406,0.60743,0.19541,0.67988,0.96775,0.71891,0.97816,7.63797e-05,7.63797e-05,7.63797e-05
31,10721.4,0.69733,0.90217,0.72422,1.04081,0.70705,0.70769,0.80593,0.67428,0.7368,0.55363,0.60979,0.20438,0.69531,0.94672,0.73932,0.98427,7.04073e-05,7.04073e-05,7.04073e-05
32,11061.5,0.69723,0.90031,0.72938,1.04202,0.71195,0.70732,0.81386,0.68433,0.74557,0.52562,0.61157,0.19817,0.6753,0.96018,0.74555,0.98217,6.45557e-05,6.45557e-05,6.45557e-05
33,11400.2,0.684,0.89405,0.71857,1.03676,0.76307,0.68042,0.81012,0.68747,0.7353,0.57804,0.62209,0.20555,0.6562,0.94033,0.72249,0.96896,5.88479e-05,5.88479e-05,5.88479e-05
34,11743.1,0.67843,0.89928,0.71003,1.0326,0.75071,0.67465,0.80568,0.68419,0.68092,0.57073,0.63655,0.21259,0.67384,0.94293,0.72353,0.97379,5.33064e-05,5.33064e-05,5.33064e-05
35,12081.4,0.68258,0.89242,0.71154,1.03494,0.76646,0.65279,0.80801,0.68296,0.77892,0.53749,0.66248,0.22758,0.68369,0.9352,0.73295,0.98688,4.79531e-05,4.79531e-05,4.79531e-05
36,12420,0.67662,0.88791,0.69833,1.03354,0.74306,0.69282,0.80893,0.68389,0.70334,0.56816,0.60674,0.19611,0.67282,0.95032,0.74057,0.97484,4.28093e-05,4.28093e-05,4.28093e-05
