epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.4536,1.42853,2.18642,1.99338,1.62566,0.88881,0.89531,0.92257,0.66885,0.70588,0.62673,0.61138,0.21841,0.96023,1.68582,0.76385,1.19171,0.0802266,0.000179576,0.000179576
2,122.556,1.03912,1.41287,0.86815,1.24163,0.8983,0.91007,0.95714,0.73447,0.58747,0.55415,0.45997,0.15532,0.86625,1.72778,0.70783,1.12509,0.0604065,0.000359468,0.000359468
3,181.898,0.99746,1.27407,0.80711,1.21747,0.86433,0.88897,0.93253,0.70496,0.80288,0.75667,0.7771,0.32539,0.88933,1.32921,0.72925,1.15111,0.040586,0.000538926,0.000538926
4,240.819,0.92774,1.24272,0.75608,1.17048,0.92889,0.92333,0.95139,0.73975,0.88835,0.88333,0.8878,0.39508,0.78548,1.28304,0.59349,1.07939,0.0207647,0.000717625,0.000717625
5,302.349,0.89868,1.12753,0.67939,1.13706,0.93827,0.91694,0.96009,0.73566,0.85858,0.80007,0.79949,0.38573,0.83496,1.24429,0.60577,1.10285,0.000942302,0.000895243,0.000895243
6,361.111,0.88824,1.12405,0.6801,1.1222,0.92569,0.90957,0.95447,0.74801,0.90214,0.88333,0.89634,0.46186,0.77966,1.01648,0.57984,1.06968,0.000893232,0.000893232,0.000893232
7,420.089,0.85928,1.14051,0.66897,1.12508,0.92541,0.90563,0.96167,0.77178,0.8916,0.87236,0.91068,0.45677,0.77199,1.01151,0.58222,1.08204,0.000890265,0.000890265,0.000890265
8,479.379,0.79583,1.07099,0.62358,1.08049,0.95595,0.94192,0.97522,0.80941,0.9428,0.92734,0.95319,0.4829,0.66872,0.92621,0.48722,1.03212,0.000886767,0.000886767,0.000886767
9,538.098,0.79536,1.03944,0.60286,1.08278,0.92129,0.94263,0.96847,0.80117,0.90145,0.88667,0.90614,0.4458,0.69463,0.93642,0.47871,1.02001,0.000882742,0.000882742,0.000882742
10,597.109,0.77861,1.00647,0.59074,1.066,0.92666,0.94475,0.97676,0.80811,0.91315,0.93204,0.94371,0.53586,0.70353,0.90699,0.48109,1.03487,0.000878196,0.000878196,0.000878196
11,657.121,0.73636,0.98759,0.57133,1.03384,0.92207,0.94134,0.96487,0.80027,0.9128,0.89367,0.93116,0.50435,0.68006,0.94003,0.50936,1.01694,0.000873133,0.000873133,0.000873133
12,715.985,0.7308,0.92921,0.55508,1.04353,0.9445,0.94235,0.96716,0.8272,0.94778,0.92667,0.94981,0.56696,0.61214,0.8249,0.46828,0.99602,0.00086756,0.00086756,0.00086756
13,775.108,0.71697,0.93337,0.52857,1.02442,0.93067,0.95789,0.97376,0.83403,0.93059,0.94156,0.95752,0.51515,0.61941,0.87572,0.43537,0.9764,0.000861485,0.000861485,0.000861485
14,834.325,0.65918,0.87687,0.48848,1.00206,0.93429,0.96667,0.98051,0.85344,0.94704,0.95667,0.97922,0.60186,0.59884,0.78099,0.42778,0.98053,0.000854913,0.000854913,0.000854913
15,893.45,0.64188,0.86751,0.49948,0.98987,0.96947,0.95123,0.97707,0.83254,0.95585,0.9379,0.95854,0.56066,0.62141,0.79111,0.44514,0.98645,0.000847853,0.000847853,0.000847853
16,952.415,0.65885,0.85643,0.49381,0.98968,0.94429,0.9529,0.9724,0.8322,0.96206,0.93189,0.96914,0.58316,0.62656,0.79144,0.44821,0.97539,0.000840314,0.000840314,0.000840314
17,1011.1,0.60667,0.82446,0.46376,0.96595,0.93019,0.95894,0.97522,0.85581,0.93343,0.96227,0.97418,0.57787,0.54466,0.7585,0.42821,0.96051,0.000832305,0.000832305,0.000832305
18,1069.85,0.6187,0.81824,0.46611,0.97054,0.96315,0.93989,0.97267,0.83758,0.95172,0.92667,0.9554,0.58894,0.60902,0.73056,0.44804,0.96882,0.000823836,0.000823836,0.000823836
19,1128.36,0.61181,0.81951,0.47761,0.96693,0.95227,0.98,0.98406,0.85949,0.94255,0.97,0.97665,0.5858,0.55582,0.77906,0.41461,0.95838,0.000814917,0.000814917,0.000814917
20,1187.39,0.59768,0.81078,0.45558,0.95582,0.94509,0.96486,0.97773,0.8517,0.94168,0.95667,0.9694,0.61503,0.57909,0.72272,0.42029,0.98563,0.000805559,0.000805559,0.000805559
21,1246.74,0.5748,0.79157,0.44861,0.94143,0.92984,0.96333,0.9821,0.86225,0.92334,0.96667,0.9708,0.62231,0.54981,0.70623,0.39236,0.9669,0.000795773,0.000795773,0.000795773
22,1307.38,0.56475,0.7849,0.42463,0.94261,0.97452,0.95496,0.98188,0.87169,0.97796,0.95829,0.98159,0.62972,0.55139,0.69824,0.38968,0.95616,0.000785571,0.000785571,0.000785571
23,1366.2,0.57542,0.75671,0.42093,0.94622,0.96338,0.93667,0.97393,0.86272,0.96062,0.93333,0.96623,0.62595,0.54436,0.69192,0.4057,0.95786,0.000774966,0.000774966,0.000774966
24,1426.36,0.53406,0.73855,0.40086,0.92326,0.96325,0.95988,0.98358,0.86834,0.95654,0.95321,0.97185,0.6259,0.53067,0.66133,0.37541,0.94661,0.00076397,0.00076397,0.00076397
25,1485.24,0.54877,0.73388,0.4012,0.93356,0.94548,0.94882,0.98106,0.87554,0.95199,0.95548,0.98006,0.65477,0.51811,0.68299,0.37865,0.93042,0.000752598,0.000752598,0.000752598
26,1544.44,0.53747,0.74165,0.40268,0.93001,0.9652,0.95665,0.98109,0.87827,0.96186,0.95332,0.97465,0.6278,0.5139,0.69175,0.36974,0.96128,0.000740862,0.000740862,0.000740862
27,1603.6,0.52633,0.72774,0.39993,0.91911,0.96209,0.93507,0.97424,0.8795,0.96074,0.93013,0.97159,0.63608,0.5025,0.67305,0.39327,0.93247,0.000728777,0.000728777,0.000728777
28,1662.69,0.5081,0.73524,0.3847,0.90789,0.9575,0.95699,0.97846,0.86643,0.96076,0.96032,0.97336,0.6387,0.49916,0.65034,0.37851,0.93497,0.000716358,0.000716358,0.000716358
29,1723.22,0.49979,0.69978,0.38366,0.90288,0.94836,0.94025,0.97903,0.88577,0.95743,0.94,0.97868,0.6697,0.48674,0.62793,0.38352,0.92887,0.00070362,0.00070362,0.00070362
30,1782.47,0.5175,0.69669,0.39634,0.91184,0.95303,0.97667,0.98156,0.87737,0.9494,0.97333,0.97777,0.67136,0.51294,0.59749,0.37878,0.93903,0.000690579,0.000690579,0.000690579
31,1841.69,0.49881,0.67899,0.37838,0.89831,0.97635,0.95424,0.98533,0.8795,0.95368,0.96678,0.97428,0.66151,0.49095,0.61851,0.36687,0.94947,0.00067725,0.00067725,0.00067725
32,1900.98,0.46645,0.67117,0.35747,0.89468,0.96956,0.96282,0.97939,0.88982,0.96956,0.96282,0.98112,0.66231,0.46897,0.6245,0.34644,0.919,0.00066365,0.00066365,0.00066365
33,1959.92,0.47584,0.68321,0.36097,0.8916,0.96748,0.9696,0.9876,0.90005,0.97424,0.97626,0.98719,0.65297,0.4691,0.63401,0.33646,0.91885,0.000649794,0.000649794,0.000649794
34,2018.69,0.47151,0.64994,0.34812,0.89551,0.93951,0.97574,0.98249,0.89859,0.93951,0.97574,0.98185,0.68581,0.46436,0.6081,0.35654,0.9273,0.000635701,0.000635701,0.000635701
35,2077.82,0.45535,0.66258,0.35638,0.88736,0.97358,0.95895,0.9878,0.90748,0.97343,0.959,0.98377,0.6881,0.44667,0.6003,0.33687,0.91401,0.000621387,0.000621387,0.000621387
36,2137.1,0.43916,0.62507,0.339,0.88206,0.96823,0.96,0.98142,0.91323,0.95772,0.96,0.97946,0.71157,0.43358,0.5798,0.31513,0.92406,0.00060687,0.00060687,0.00060687
37,2196.06,0.44241,0.63528,0.33343,0.88648,0.95059,0.95923,0.98268,0.8941,0.95062,0.96138,0.98058,0.68503,0.46094,0.60577,0.34555,0.91765,0.000592167,0.000592167,0.000592167
38,2254.83,0.42189,0.63374,0.32644,0.86118,0.96181,0.97279,0.97801,0.91052,0.96361,0.97009,0.98135,0.72563,0.4448,0.56624,0.31029,0.94345,0.000577296,0.000577296,0.000577296
39,2314.33,0.43108,0.60832,0.32625,0.88211,0.95524,0.96228,0.9788,0.90497,0.9599,0.95333,0.97839,0.71078,0.44953,0.5739,0.32032,0.9445,0.000562276,0.000562276,0.000562276
40,2373.28,0.43568,0.6188,0.31694,0.87752,0.95454,0.97129,0.98125,0.89916,0.96799,0.96483,0.98193,0.68971,0.46919,0.60456,0.32721,0.93094,0.000547125,0.000547125,0.000547125
41,2432.4,0.40848,0.59393,0.3133,0.86166,0.97029,0.9601,0.98703,0.91321,0.97966,0.96667,0.98967,0.73046,0.43402,0.55284,0.30866,0.93534,0.00053186,0.00053186,0.00053186
42,2491.36,0.40253,0.5809,0.31021,0.87046,0.9722,0.97,0.98671,0.91743,0.97498,0.97515,0.98564,0.72427,0.42723,0.54178,0.31352,0.93351,0.000516502,0.000516502,0.000516502
43,2550.41,0.39349,0.58846,0.31376,0.85097,0.97064,0.97,0.9868,0.91804,0.97064,0.97,0.9885,0.70947,0.41239,0.58057,0.29906,0.92296,0.000501067,0.000501067,0.000501067
44,2609.64,0.40295,0.60084,0.29647,0.86099,0.98056,0.9759,0.9841,0.90475,0.9866,0.98492,0.98949,0.7112,0.4434,0.56842,0.31014,0.93896,0.000485577,0.000485577,0.000485577
45,2668.99,0.38734,0.56678,0.3038,0.86216,0.96189,0.95607,0.98026,0.91126,0.97018,0.97206,0.98614,0.72266,0.44165,0.53363,0.3246,0.92139,0.000470048,0.000470048,0.000470048
46,2727.7,0.40201,0.58486,0.31161,0.86891,0.97154,0.96525,0.98349,0.9148,0.97147,0.96525,0.98336,0.73149,0.41718,0.52939,0.30385,0.9243,0.0004545,0.0004545,0.0004545
47,2786.99,0.37644,0.56393,0.29141,0.85706,0.94774,0.96752,0.98571,0.93332,0.95428,0.97404,0.98804,0.7471,0.37654,0.50653,0.3085,0.88608,0.000438952,0.000438952,0.000438952
48,2846.41,0.37195,0.57382,0.30453,0.8491,0.96076,0.97952,0.98823,0.92094,0.96419,0.9826,0.98703,0.74303,0.39149,0.51469,0.30567,0.91571,0.000423423,0.000423423,0.000423423
49,2905.66,0.35591,0.54482,0.27952,0.84264,0.96659,0.96437,0.9847,0.92279,0.97338,0.97104,0.98753,0.74114,0.3859,0.50723,0.30377,0.91104,0.000407933,0.000407933,0.000407933
50,2964.82,0.35294,0.55391,0.28292,0.83954,0.97281,0.96,0.9841,0.92289,0.97281,0.96,0.98005,0.73761,0.39728,0.51556,0.29269,0.89598,0.000392498,0.000392498,0.000392498
51,3024.43,0.36504,0.54456,0.27858,0.84708,0.94697,0.97901,0.98458,0.92673,0.97182,0.96667,0.98544,0.74764,0.38681,0.52407,0.28578,0.9042,0.00037714,0.00037714,0.00037714
52,3083.7,0.33801,0.52904,0.26647,0.83113,0.98171,0.9852,0.98776,0.92694,0.98171,0.9852,0.98516,0.75042,0.39303,0.50626,0.25618,0.92371,0.000361875,0.000361875,0.000361875
53,3142.99,0.341,0.53507,0.27644,0.83885,0.96262,0.97667,0.98533,0.92844,0.96608,0.98,0.98563,0.76016,0.36276,0.49537,0.2789,0.9115,0.000346724,0.000346724,0.000346724
54,3202.49,0.33271,0.51828,0.2635,0.83802,0.95825,0.97071,0.98005,0.92052,0.96729,0.98319,0.98536,0.74208,0.36201,0.48784,0.27605,0.88901,0.000331704,0.000331704,0.000331704
55,3261.81,0.3399,0.51908,0.2641,0.83308,0.97404,0.97056,0.98027,0.92223,0.97741,0.97389,0.98212,0.73969,0.3706,0.47793,0.27514,0.90457,0.000316833,0.000316833,0.000316833
